name,parent,swap
paw1LH_top,,
paw2LF_top,,
paw3RF_top,,
paw4RH_top,,
tailBase_top,,
tailMid_top,,
nose_top,,
obs_top,,
paw1LH_bot,paw1LH_top,
paw2LF_bot,paw2LF_top,
paw3RF_bot,paw3RF_top,
paw4RH_bot,paw4RH_top,
tailBase_bot,tailBase_top,
tailMid_bot,tailMid_top,
nose_bot,nose_top,
obsHigh_bot,obs_top,
obsLow_bot,obs_top,
jaw,,
tongue,,
wheel_left,,
wheel_mid,,
wheel_right,,
LED,,
ear,,
